District,"Patrick J. DIEGNAN, Jr.",Roger W. DALEY
"East Brunswick, District 1",2157,1528
"East Brunswick, District 2",2386,1582
"East Brunswick, District 3",2040,1456
"East Brunswick, District 4",2088,1508
"East Brunswick, District 5",1958,1359
"East Brunswick, District 6",1953,1394
"East Brunswick, District 7",2049,1472
"East Brunswick, District 8",2045,1439
"East Brunswick, District 9",1998,1453
"East Brunswick, District 10",2032,1393
"East Brunswick, District 11",1926,1383
"East Brunswick, District 12",2012,1448
"East Brunswick, District 13",2080,1437
"East Brunswick, District 14",2154,1574
"East Brunswick, District 15",1973,1374
"East Brunswick, District 16",2072,1461
"East Brunswick, District 17",2055,1438
"East Brunswick, District 18",1984,1353
"East Brunswick, District 19",2004,1385
"East Brunswick, District 20",2134,1533
"East Brunswick, District 21",2036,1457
"East Brunswick, District 22",2031,1379
"East Brunswick, District 23",2098,1501
"East Brunswick, District 24",2019,1455
"East Brunswick, District 25",2038,1422
"East Brunswick, District 26",2096,1525
"East Brunswick, District 27",2008,1525
"East Brunswick, District 28",1959,1371
"East Brunswick, District 29",2071,1437
"East Brunswick, District 30",2097,1459
"East Brunswick, District 31",2127,1515
"East Brunswick, District 32",2012,1388
"East Brunswick, District 33",2045,1381
"East Brunswick, District 34",2153,1521
"East Brunswick, District 35",1950,1394
"East Brunswick, District 36",2074,1455
"East Brunswick, District 37",2134,1454
"East Brunswick, District 38",2036,1419
"East Brunswick, District 39",2012,1442
"East Brunswick, District 40",2085,1434
"Edison, District 1",3117,1413
"Edison, District 2",3384,1341
"Edison, District 3",3037,1351
"Edison, District 4",2954,1310
"Edison, District 5",3033,1315
"Edison, District 6",3071,1259
"Edison, District 7",2922,1262
"Edison, District 8",2970,1295
"Edison, District 9",2922,1281
"Edison, District 10",2984,1332
"Edison, District 11",3044,1334
"Edison, District 12",3082,1361
"Edison, District 13",3020,1270
"Edison, District 14",3058,1399
"Edison, District 15",3048,1333
"Edison, District 16",3057,1359
"Edison, District 17",3012,1305
"Edison, District 18",2957,1285
"Edison, District 19",3006,1311
"Edison, District 20",2981,1270
"Edison, District 21",2999,1318
"Edison, District 22",2962,1291
"Edison, District 23",3026,1338
"Edison, District 24",2992,1304
"Edison, District 25",2978,1275
"Edison, District 26",2990,1315
"Edison, District 27",3129,1414
"Edison, District 28",2952,1214
"Edison, District 29",3071,1314
"Edison, District 30",3134,1398
"Edison, District 31",3040,1322
"Edison, District 32",2993,1276
"Edison, District 33",2984,1308
"Edison, District 34",2934,1300
"Edison, District 35",3008,1311
"Edison, District 36",3013,1286
"Edison, District 37",3028,1345
"Edison, District 38",3046,1283
"Edison, District 39",3169,1258
"Edison, District 40",3011,1306
"Edison, District 41",2981,1266
"Edison, District 42",2994,1245
"Edison, District 43",3264,1293
"Edison, District 44",3022,1353
"Edison, District 45",2987,1317
"Edison, District 46",2978,1296
"Edison, District 47",2977,1291
"Edison, District 48",2923,1278
"Edison, District 49",3035,1316
"Edison, District 50",3014,1306
"Edison, District 51",2959,1276
"Edison, District 52",2983,1304
"Edison, District 53",3041,1329
"Edison, District 54",2993,1291
"Edison, District 55",2939,1272
"Edison, District 56",2967,1275
"Edison, District 57",3003,1300
"Edison, District 58",3111,1242
"Edison, District 59",2961,1273
"Edison, District 60",2969,1294
"Edison, District 61",3087,1343
"Edison, District 62",2980,1325
"Edison, District 63",3207,1301
"Edison, District 64",3128,1353
"Edison, District 65",3095,1347
"Edison, District 66",3099,1346
"Edison, District 67",3053,1383
"Edison, District 68",3096,1404
"Edison, District 69",3004,1292
"Edison, District 70",3204,1347
"Edison, District 71",3076,1297
"Edison, District 72",3256,1399
"Edison, District 73",3088,1367
"Edison, District 74",3025,1318
"Edison, District 75",3072,1239
"Edison, District 76",3146,1334
"Edison, District 77",3213,1321
"Edison, District 78",3096,1241
"Helmetta, District 1",389,497
"Highland Park, District 1",986,258
"Highland Park, District 2",939,183
"Highland Park, District 3",907,187
"Highland Park, District 4",909,171
"Highland Park, District 5",962,240
"Highland Park, District 6",954,176
"Highland Park, District 7",977,201
"Highland Park, District 8",938,199
"Highland Park, District 9",884,218
"Highland Park, District 10",899,263
"Highland Park, District 11",910,260
"Highland Park, District 12",853,185
"Highland Park, District 13",904,192
"Metuchen, District 1",958,564
"Metuchen, District 2",1001,553
"Metuchen, District 3",939,483
"Metuchen, District 4",924,474
"Metuchen, District 5",955,507
"Metuchen, District 6",897,468
"Metuchen, District 7",898,480
"Metuchen, District 8",912,460
"Metuchen, District 9",860,445
"Metuchen, District 10",1042,551
"Metuchen, District 11",1166,578
"Metuchen, District 12",903,491
"Metuchen, District 13",845,441
"South Plainfield, District 1",909,451
"South Plainfield, District 2",882,532
"South Plainfield, District 3",885,483
"South Plainfield, District 4",1072,634
"South Plainfield, District 5",807,472
"South Plainfield, District 6",894,515
"South Plainfield, District 7",971,532
"South Plainfield, District 8",914,520
"South Plainfield, District 9",860,521
"South Plainfield, District 10",1153,550
"South Plainfield, District 11",828,499
"South Plainfield, District 12",820,510
"South Plainfield, District 13",990,535
"South Plainfield, District 14",910,558
"South Plainfield, District 15",1035,443
"South River, District 1",418,343
"South River, District 2",390,342
"South River, District 3",376,380
"South River, District 4",373,369
"South River, District 5",401,397
"South River, District 6",419,388
"South River, District 7",404,359
"South River, District 8",395,380
"South River, District 9",417,332
"South River, District 10",587,468
"South River, District 11",455,387
"South River, District 12",443,362
"South River, District 13",398,364
"South River, District 14",377,386
Total,363819,182977
