District,Bonnie Watson COLEMAN,Steven J. UCCIO,R. Edward FORCHION,Robert SHAPIRO,Thomas FITZPATRICK,Steven WELZER,Michael R. BOLLENTIN
"Cranbury, District 1",480,347,14,3,9,10,5
"Cranbury, District 2",479,442,15,10,8,7,3
"Cranbury, District 3",437,341,14,4,5,7,8
"Dunellen, District 1",288,211,15,6,8,4,3
"Dunellen, District 2",415,263,17,9,6,7,5
"Dunellen, District 3",225,254,7,6,10,3,5
"Dunellen, District 4",279,196,14,9,7,4,4
"Dunellen, District 5",319,295,9,6,8,6,3
"Dunellen, District 6",236,208,14,8,7,2,3
"East Brunswick, District 1",2127,1407,76,34,31,21,17
"East Brunswick, District 2",2359,1465,82,31,30,25,19
"East Brunswick, District 3",2002,1347,75,30,30,23,18
"East Brunswick, District 4",2059,1396,71,26,27,21,18
"East Brunswick, District 5",1924,1253,65,32,26,24,18
"East Brunswick, District 6",1915,1287,74,27,26,20,18
"East Brunswick, District 7",2021,1355,66,32,28,22,16
"East Brunswick, District 8",1998,1335,77,32,28,22,19
"East Brunswick, District 9",1973,1340,76,28,29,19,17
"East Brunswick, District 10",1995,1291,72,28,27,21,18
"East Brunswick, District 11",1896,1275,73,28,26,20,16
"East Brunswick, District 12",1986,1338,66,27,32,19,17
"East Brunswick, District 13",2042,1327,79,26,31,23,16
"East Brunswick, District 14",2134,1462,66,31,29,22,17
"East Brunswick, District 15",1944,1260,67,28,30,21,17
"East Brunswick, District 16",2040,1358,70,31,28,20,16
"East Brunswick, District 17",2030,1342,64,27,26,19,16
"East Brunswick, District 18",1950,1245,69,29,28,19,18
"East Brunswick, District 19",1968,1273,70,27,31,21,20
"East Brunswick, District 20",2116,1411,76,29,28,23,17
"East Brunswick, District 21",2001,1343,70,30,28,20,19
"East Brunswick, District 22",1998,1273,73,30,28,20,16
"East Brunswick, District 23",2079,1379,74,30,30,21,16
"East Brunswick, District 24",1985,1344,69,28,31,22,19
"East Brunswick, District 25",2006,1309,70,30,26,23,17
"East Brunswick, District 26",2055,1414,72,30,28,24,17
"East Brunswick, District 27",1965,1414,70,35,30,20,17
"East Brunswick, District 28",1919,1274,70,26,28,19,16
"East Brunswick, District 29",2034,1336,67,34,29,21,18
"East Brunswick, District 30",2071,1347,66,27,27,21,18
"East Brunswick, District 31",2101,1392,78,26,29,23,17
"East Brunswick, District 32",1973,1287,70,29,27,22,17
"East Brunswick, District 33",2005,1273,75,30,29,23,20
"East Brunswick, District 34",2119,1403,72,31,27,22,17
"East Brunswick, District 35",1921,1281,68,28,26,23,16
"East Brunswick, District 36",2042,1340,74,30,26,20,16
"East Brunswick, District 37",2088,1344,69,33,27,23,19
"East Brunswick, District 38",1991,1316,72,29,28,27,16
"East Brunswick, District 39",1982,1327,72,28,28,20,21
"East Brunswick, District 40",2059,1326,71,28,29,20,16
"Helmetta, District 1",358,472,35,14,9,4,6
"Jamesburg, District 1",300,320,16,8,8,8,3
"Jamesburg, District 2",219,204,13,8,10,5,1
"Jamesburg, District 3",241,214,12,8,10,8,2
"Jamesburg, District 4",313,332,20,10,10,4,2
"Middlesex, District 1",416,368,27,13,5,7,10
"Middlesex, District 2",509,516,32,10,6,11,9
"Middlesex, District 3",475,401,20,7,6,10,8
"Middlesex, District 4",475,534,22,11,7,6,8
"Middlesex, District 5",441,547,28,9,6,6,11
"Middlesex, District 6",349,408,23,9,5,7,7
"Middlesex, District 7",471,520,33,9,9,9,10
"Middlesex, District 8",462,497,21,9,11,7,9
"Middlesex, District 9",482,507,22,11,5,9,8
"Middlesex, District 10",564,453,30,12,17,8,10
"Milltown, District 1",323,338,16,6,9,6,2
"Milltown, District 2",374,436,15,9,12,5,4
"Milltown, District 3",348,307,19,7,7,3,4
"Milltown, District 4",301,307,19,6,9,5,6
"Milltown, District 5",373,354,12,9,10,3,3
"Milltown, District 6",294,275,14,8,9,2,3
"Milltown, District 7",366,434,16,11,10,4,5
"Milltown, District 8",355,379,15,12,12,4,3
"Milltown, District 9",298,321,10,4,10,3,3
"Monroe, Ward 1, District 1",1489,1061,27,15,19,8,13
"Monroe, Ward 1, District 2",1414,1096,28,14,19,9,15
"Monroe, Ward 1, District 3",1395,1066,26,14,17,9,13
"Monroe, Ward 1, District 4",1431,1086,28,17,17,10,15
"Monroe, Ward 1, District 5",1418,1072,28,17,17,9,15
"Monroe, Ward 1, District 6",1368,1008,29,14,17,8,13
"Monroe, Ward 1, District 7",1418,1059,26,16,18,8,14
"Monroe, Ward 1, District 8",1373,996,25,16,17,8,14
"Monroe, Ward 1, District 9",1437,1034,26,18,20,8,14
"Monroe, Ward 1, District 10",1449,1054,28,14,17,9,14
"Monroe, Ward 1, District 11",1335,1085,27,15,22,10,15
"Monroe, Ward 1, District 12",1526,1123,34,21,22,11,15
"Monroe, Ward 1, District 13",1578,1134,28,16,19,9,13
"Monroe, Ward 1, District 14",1755,1163,28,26,21,13,21
"Monroe, Ward 1, District 15",1443,1052,31,15,19,12,15
"Monroe, Ward 1, District 16",1413,1087,27,14,17,8,14
"Monroe, Ward 1, District 17",1535,1088,40,18,20,10,15
"Monroe, Ward 2, District 1",2417,1920,58,33,25,15,34
"Monroe, Ward 2, District 2",2320,1682,65,32,24,18,23
"Monroe, Ward 2, District 3",2329,1534,45,27,25,16,21
"Monroe, Ward 2, District 4",2281,1750,62,33,26,15,23
"Monroe, Ward 2, District 5",2262,1515,43,26,24,15,20
"Monroe, Ward 2, District 6",2291,1525,46,30,23,15,20
"Monroe, Ward 2, District 7",2344,1524,44,27,25,18,20
"Monroe, Ward 2, District 8",2247,1488,42,28,24,14,20
"Monroe, Ward 2, District 9",2333,1550,44,28,26,14,21
"Monroe, Ward 2, District 10",2271,1603,48,27,23,15,23
"Monroe, Ward 2, District 11",2250,1519,45,29,22,14,21
"Monroe, Ward 2, District 12",2303,1507,45,29,24,14,20
"Monroe, Ward 3, District 1",1389,1145,42,16,20,10,18
"Monroe, Ward 3, District 2",1387,1075,35,20,22,8,15
"Monroe, Ward 3, District 3",1393,1108,33,28,21,9,13
"Monroe, Ward 3, District 4",1413,1190,41,21,18,9,14
"Monroe, Ward 3, District 5",1494,1232,42,21,20,10,15
"Monroe, Ward 3, District 6",1378,1142,28,15,21,8,16
"Monroe, Ward 3, District 7",1431,1231,31,20,19,12,19
"Monroe, Ward 3, District 8",1424,1196,39,13,22,11,15
"Monroe, Ward 3, District 9",1476,1326,40,19,22,10,17
"Monroe, Ward 3, District 10",1608,1236,26,15,19,9,13
"Monroe, Ward 3, District 11",1440,1088,28,18,18,9,13
"North Brunswick, District 1",1243,588,51,21,15,19,10
"North Brunswick, District 2",1329,646,53,22,17,13,8
"North Brunswick, District 3",1243,561,55,21,14,16,10
"North Brunswick, District 4",1430,598,49,20,17,16,10
"North Brunswick, District 5",1336,660,65,21,17,20,9
"North Brunswick, District 6",1267,553,57,24,17,15,12
"North Brunswick, District 7",1258,677,47,21,17,15,9
"North Brunswick, District 8",1176,550,46,22,15,16,13
"North Brunswick, District 9",1310,646,54,23,19,14,10
"North Brunswick, District 10",1169,566,43,21,16,13,11
"North Brunswick, District 11",1406,799,57,20,18,15,9
"North Brunswick, District 12",1236,537,53,18,17,15,9
"North Brunswick, District 13",1219,609,43,19,16,14,10
"North Brunswick, District 14",1160,529,43,19,18,13,10
"North Brunswick, District 15",1203,494,43,19,15,15,9
"North Brunswick, District 16",1255,555,49,18,19,19,11
"North Brunswick, District 17",1317,580,48,19,15,19,9
"North Brunswick, District 18",1201,595,45,17,14,15,10
"North Brunswick, District 19",1488,616,54,25,15,17,11
