District,"Frank PALLONE, Jr.",Brent SONNEK-SCHMELZ,Rajit B. MALLIAH,Judith SHAMY
"Carteret, District 1",1027,230,3,7
"Carteret, District 2",1145,262,4,6
"Carteret, District 3",1121,207,4,7
"Carteret, District 4",1054,212,3,8
"Carteret, District 5",1035,270,3,8
"Carteret, District 6",1029,236,6,12
"Carteret, District 7",1017,267,3,7
"Carteret, District 8",1116,247,4,6
"Carteret, District 9",1015,286,3,8
"Carteret, District 10",1005,288,3,8
"Carteret, District 11",1071,304,2,7
"Carteret, District 12",1051,309,4,7
"Carteret, District 13",1037,279,3,7
"Carteret, District 14",967,257,2,8
"Carteret, District 15",1019,287,2,10
"Carteret, District 16",986,268,3,8
"Carteret, District 17",1057,284,2,10
"Carteret, District 18",997,273,3,7
"Carteret, District 19",969,256,2,7
"Edison, District 1",3254,1308,25,27
"Edison, District 2",3521,1235,31,27
"Edison, District 3",3168,1246,25,29
"Edison, District 4",3070,1219,23,26
"Edison, District 5",3155,1223,27,26
"Edison, District 6",3184,1170,26,29
"Edison, District 7",3034,1164,27,29
"Edison, District 8",3089,1192,27,28
"Edison, District 9",3049,1175,23,27
"Edison, District 10",3100,1234,26,28
"Edison, District 11",3178,1225,25,33
"Edison, District 12",3226,1234,26,28
"Edison, District 13",3143,1174,26,26
"Edison, District 14",3190,1291,26,31
"Edison, District 15",3177,1235,25,28
"Edison, District 16",3188,1250,25,30
"Edison, District 17",3148,1201,27,29
"Edison, District 18",3077,1186,24,26
"Edison, District 19",3138,1206,24,28
"Edison, District 20",3096,1177,24,27
"Edison, District 21",3128,1217,23,28
"Edison, District 22",3077,1205,23,26
"Edison, District 23",3157,1229,24,31
"Edison, District 24",3113,1202,27,30
"Edison, District 25",3096,1174,26,29
"Edison, District 26",3116,1221,24,30
"Edison, District 27",3190,1362,26,31
"Edison, District 28",3076,1119,23,26
"Edison, District 29",3196,1215,27,27
"Edison, District 30",3261,1291,26,27
"Edison, District 31",3150,1230,29,29
"Edison, District 32",3111,1182,24,27
"Edison, District 33",3115,1202,27,31
"Edison, District 34",3050,1203,23,28
"Edison, District 35",3133,1219,27,27
"Edison, District 36",3145,1178,23,27
"Edison, District 37",3160,1243,26,28
"Edison, District 38",3179,1177,23,30
"Edison, District 39",3306,1149,25,33
"Edison, District 40",3141,1198,29,27
"Edison, District 41",3096,1174,27,29
"Edison, District 42",3120,1146,26,26
"Edison, District 43",3404,1189,33,27
"Edison, District 44",3136,1254,28,29
"Edison, District 45",3118,1210,24,27
"Edison, District 46",3106,1187,24,28
"Edison, District 47",3091,1193,25,33
"Edison, District 48",3045,1170,23,30
"Edison, District 49",3145,1232,24,29
"Edison, District 50",3129,1215,27,27
"Edison, District 51",3084,1172,25,26
"Edison, District 52",3114,1198,25,28
"Edison, District 53",3175,1219,24,29
"Edison, District 54",3117,1198,24,26
"Edison, District 55",3069,1168,23,26
"Edison, District 56",3079,1183,24,31
"Edison, District 57",3130,1203,25,27
"Edison, District 58",3229,1150,26,26
"Edison, District 59",3079,1184,24,27
"Edison, District 60",3090,1193,25,32
"Edison, District 61",3215,1234,27,28
"Edison, District 62",3089,1234,26,29
"Edison, District 63",3340,1201,28,34
"Edison, District 64",3264,1248,27,29
"Edison, District 65",3223,1237,31,28
"Edison, District 66",3238,1239,27,27
"Edison, District 67",3200,1272,24,26
"Edison, District 68",3217,1300,25,29
"Edison, District 69",3141,1185,24,26
"Edison, District 70",3331,1248,26,27
"Edison, District 71",3211,1196,27,27
"Edison, District 72",3397,1298,28,27
"Edison, District 73",3221,1262,23,28
"Edison, District 74",3143,1221,25,27
"Edison, District 75",3194,1148,26,27
"Edison, District 76",3277,1229,23,26
"Edison, District 77",3372,1199,26,29
"Edison, District 78",3221,1143,27,26
"Highland Park, District 1",1036,225,22,6
"Highland Park, District 2",973,162,21,4
"Highland Park, District 3",949,161,23,9
"Highland Park, District 4",948,148,16,8
"Highland Park, District 5",1023,208,20,9
"Highland Park, District 6",996,155,21,5
"Highland Park, District 7",1016,175,23,9
"Highland Park, District 8",991,162,23,7
"Highland Park, District 9",933,187,19,6
"Highland Park, District 10",938,245,21,6
"Highland Park, District 11",964,225,19,9
"Highland Park, District 12",889,159,22,5
"Highland Park, District 13",933,173,23,7
"Metuchen, District 1",1001,527,13,11
"Metuchen, District 2",1046,507,8,14
"Metuchen, District 3",984,452,11,13
"Metuchen, District 4",954,448,12,13
"Metuchen, District 5",990,473,9,15
"Metuchen, District 6",934,441,10,11
"Metuchen, District 7",932,449,9,14
"Metuchen, District 8",942,432,7,13
"Metuchen, District 9",899,405,14,16
"Metuchen, District 10",1085,520,7,14
"Metuchen, District 11",1199,547,17,18
"Metuchen, District 12",938,468,10,11
"Metuchen, District 13",891,397,7,15
"New Brunswick, Ward 1, District 1",919,136,14,15
"New Brunswick, Ward 1, District 2",859,173,12,12
"New Brunswick, Ward 1, District 3",903,131,11,14
"New Brunswick, Ward 1, District 4",935,176,16,17
"New Brunswick, Ward 1, District 5",951,219,12,17
"New Brunswick, Ward 1, District 6",959,155,16,14
"New Brunswick, Ward 2, District 1",1080,152,18,15
"New Brunswick, Ward 2, District 2",835,122,16,12
"New Brunswick, Ward 2, District 3",884,124,14,13
"New Brunswick, Ward 2, District 4",852,133,12,16
"New Brunswick, Ward 2, District 5",868,134,10,12
"New Brunswick, Ward 2, District 6",807,140,11,13
"New Brunswick, Ward 2, District 7",1195,153,15,15
"New Brunswick, Ward 4, District 1",852,139,17,16
"New Brunswick, Ward 4, District 2",1045,130,10,12
"New Brunswick, Ward 4, District 3",836,121,10,12
"New Brunswick, Ward 4, District 4",892,144,14,13
"New Brunswick, Ward 4, District 5",872,127,10,14
"New Brunswick, Ward 5, District 1",974,187,16,16
"New Brunswick, Ward 5, District 2",760,123,16,13
