District,Robert KARABINCHAK,Camille Ferraro CLARK
"East Brunswick, District 1",2008,1593
"East Brunswick, District 2",2225,1656
"East Brunswick, District 3",1886,1530
"East Brunswick, District 4",1933,1575
"East Brunswick, District 5",1816,1425
"East Brunswick, District 6",1802,1462
"East Brunswick, District 7",1894,1538
"East Brunswick, District 8",1892,1514
"East Brunswick, District 9",1850,1522
"East Brunswick, District 10",1881,1465
"East Brunswick, District 11",1789,1442
"East Brunswick, District 12",1857,1521
"East Brunswick, District 13",1929,1506
"East Brunswick, District 14",1995,1653
"East Brunswick, District 15",1831,1434
"East Brunswick, District 16",1911,1535
"East Brunswick, District 17",1902,1511
"East Brunswick, District 18",1846,1414
"East Brunswick, District 19",1859,1451
"East Brunswick, District 20",1988,1594
"East Brunswick, District 21",1878,1526
"East Brunswick, District 22",1871,1452
"East Brunswick, District 23",1948,1567
"East Brunswick, District 24",1861,1526
"East Brunswick, District 25",1894,1483
"East Brunswick, District 26",1942,1603
"East Brunswick, District 27",1858,1585
"East Brunswick, District 28",1810,1439
"East Brunswick, District 29",1917,1507
"East Brunswick, District 30",1956,1515
"East Brunswick, District 31",1974,1573
"East Brunswick, District 32",1858,1458
"East Brunswick, District 33",1893,1451
"East Brunswick, District 34",1989,1601
"East Brunswick, District 35",1804,1456
"East Brunswick, District 36",1912,1537
"East Brunswick, District 37",1982,1519
"East Brunswick, District 38",1888,1489
"East Brunswick, District 39",1866,1504
"East Brunswick, District 40",1940,1494
"Edison, District 1",3021,1450
"Edison, District 2",3271,1397
"Edison, District 3",2954,1382
"Edison, District 4",2860,1350
"Edison, District 5",2940,1357
"Edison, District 6",2975,1307
"Edison, District 7",2834,1300
"Edison, District 8",2878,1337
"Edison, District 9",2837,1319
"Edison, District 10",2892,1373
"Edison, District 11",2956,1367
"Edison, District 12",2998,1390
"Edison, District 13",2930,1311
"Edison, District 14",2966,1435
"Edison, District 15",2953,1376
"Edison, District 16",2968,1398
"Edison, District 17",2928,1342
"Edison, District 18",2857,1334
"Edison, District 19",2917,1349
"Edison, District 20",2884,1315
"Edison, District 21",2909,1360
"Edison, District 22",2877,1326
"Edison, District 23",2939,1371
"Edison, District 24",2899,1342
"Edison, District 25",2887,1308
"Edison, District 26",2892,1361
"Edison, District 27",3052,1444
"Edison, District 28",2854,1259
"Edison, District 29",2975,1352
"Edison, District 30",3038,1443
"Edison, District 31",2952,1364
"Edison, District 32",2906,1313
"Edison, District 33",2898,1348
"Edison, District 34",2842,1336
"Edison, District 35",2906,1356
"Edison, District 36",2922,1320
"Edison, District 37",2949,1377
"Edison, District 38",2958,1323
"Edison, District 39",3081,1298
"Edison, District 40",2921,1344
"Edison, District 41",2889,1307
"Edison, District 42",2908,1285
"Edison, District 43",3174,1330
"Edison, District 44",2936,1389
"Edison, District 45",2898,1352
"Edison, District 46",2884,1336
"Edison, District 47",2888,1330
"Edison, District 48",2836,1313
"Edison, District 49",2949,1354
"Edison, District 50",2923,1341
"Edison, District 51",2872,1311
"Edison, District 52",2886,1345
"Edison, District 53",2946,1372
"Edison, District 54",2900,1333
"Edison, District 55",2844,1316
"Edison, District 56",2874,1317
"Edison, District 57",2919,1339
"Edison, District 58",3014,1285
"Edison, District 59",2873,1313
"Edison, District 60",2871,1338
"Edison, District 61",2998,1378
"Edison, District 62",2884,1365
"Edison, District 63",3100,1347
"Edison, District 64",3037,1394
"Edison, District 65",3004,1387
"Edison, District 66",3008,1384
"Edison, District 67",2951,1429
"Edison, District 68",3010,1439
"Edison, District 69",2912,1327
"Edison, District 70",3105,1389
"Edison, District 71",2979,1344
"Edison, District 72",3161,1445
"Edison, District 73",2997,1407
"Edison, District 74",2930,1357
"Edison, District 75",2976,1281
"Edison, District 76",3054,1375
"Edison, District 77",3128,1352
"Edison, District 78",3008,1272
"Helmetta, District 1",368,505
"Highland Park, District 1",974,252
"Highland Park, District 2",924,178
"Highland Park, District 3",897,176
"Highland Park, District 4",894,166
"Highland Park, District 5",946,231
"Highland Park, District 6",935,166
"Highland Park, District 7",962,197
"Highland Park, District 8",926,189
"Highland Park, District 9",877,207
"Highland Park, District 10",877,255
"Highland Park, District 11",904,247
"Highland Park, District 12",838,178
"Highland Park, District 13",882,190
"Metuchen, District 1",892,589
"Metuchen, District 2",954,557
"Metuchen, District 3",898,493
"Metuchen, District 4",873,478
"Metuchen, District 5",909,514
"Metuchen, District 6",856,471
"Metuchen, District 7",851,488
"Metuchen, District 8",856,472
"Metuchen, District 9",817,451
"Metuchen, District 10",984,564
"Metuchen, District 11",1109,592
"Metuchen, District 12",856,500
"Metuchen, District 13",803,446
"South Plainfield, District 1",781,529
"South Plainfield, District 2",726,611
"South Plainfield, District 3",744,561
"South Plainfield, District 4",908,720
"South Plainfield, District 5",662,562
"South Plainfield, District 6",746,589
"South Plainfield, District 7",828,606
"South Plainfield, District 8",773,610
"South Plainfield, District 9",694,607
"South Plainfield, District 10",998,623
"South Plainfield, District 11",692,572
"South Plainfield, District 12",679,590
"South Plainfield, District 13",835,620
"South Plainfield, District 14",734,654
"South Plainfield, District 15",894,513
"South River, District 1",416,327
"South River, District 2",371,337
"South River, District 3",374,363
"South River, District 4",359,354
"South River, District 5",388,387
"South River, District 6",416,373
"South River, District 7",397,348
"South River, District 8",391,368
"South River, District 9",407,319
"South River, District 10",575,455
"South River, District 11",447,376
"South River, District 12",430,347
"South River, District 13",384,353
"South River, District 14",372,374
Total,347420,189838
