District,Hillary Rodham CLINTON,Donald J. TRUMP,Gary JOHNSON,Jill STEIN,Alyson KENNEDY,Darrell CASTLE,Monica MOOREHEAD,Rocky Roque De La FUENTE,Gloria La RIVA
"Carteret, District 1",1167,334,14,5,1,2,1,0,0
"Carteret, District 2",383,113,6,5,0,0,0,0,0
"Carteret, District 3",372,38,1,5,0,0,0,0,0
"Carteret, District 4",314,45,1,1,0,0,0,0,2
"Carteret, District 5",264,133,5,1,1,0,1,0,0
"Carteret, District 6",266,88,3,4,0,1,1,0,0
"Carteret, District 7",248,110,3,4,2,0,1,0,1
"Carteret, District 8",373,94,2,3,3,3,0,0,0
"Carteret, District 9",245,133,1,4,2,0,0,0,1
"Carteret, District 10",225,150,5,0,0,0,0,0,0
"Carteret, District 11",304,155,4,3,1,0,0,0,0
"Carteret, District 12",262,189,7,4,0,0,0,0,0
"Carteret, District 13",244,148,4,3,1,0,0,0,0
"Carteret, District 14",188,120,1,2,0,1,0,0,0
"Carteret, District 15",220,163,4,0,2,0,0,0,0
"Carteret, District 16",216,120,2,1,0,1,0,0,0
"Carteret, District 17",280,165,6,5,2,0,0,0,0
"Carteret, District 18",212,134,2,2,0,1,0,0,0
"Carteret, District 19",180,117,2,2,0,0,0,0,0
"Cranbury, District 1",566,335,32,9,2,2,1,0,0
"Cranbury, District 2",349,268,22,4,1,4,1,0,0
"Cranbury, District 3",281,191,10,7,0,1,0,0,0
"Dunellen, District 1",354,236,16,8,0,0,0,1,0
"Dunellen, District 2",375,221,13,13,1,1,2,0,2
"Dunellen, District 3",141,200,18,6,1,0,0,0,0
"Dunellen, District 4",208,136,16,6,1,0,0,0,0
"Dunellen, District 5",262,232,18,4,2,1,1,3,0
"Dunellen, District 6",153,153,10,6,0,0,0,0,0
"East Brunswick, District 1",2681,1501,99,46,1,6,2,0,3
"East Brunswick, District 2",611,346,14,13,1,2,0,1,0
"East Brunswick, District 3",237,241,7,6,0,2,0,1,0
"East Brunswick, District 4",301,245,8,5,0,0,0,0,0
"East Brunswick, District 5",142,102,3,6,0,3,0,0,1
"East Brunswick, District 6",135,160,4,4,0,1,0,0,1
"East Brunswick, District 7",237,238,8,3,2,1,1,0,0
"East Brunswick, District 8",220,213,6,7,0,0,0,1,1
"East Brunswick, District 9",199,210,12,3,3,2,0,0,0
"East Brunswick, District 10",243,155,13,3,0,3,0,0,0
"East Brunswick, District 11",125,138,5,3,0,1,1,0,0
"East Brunswick, District 12",209,199,11,5,3,1,0,0,0
"East Brunswick, District 13",275,208,10,5,1,1,0,0,0
"East Brunswick, District 14",397,270,16,8,2,2,1,0,0
"East Brunswick, District 15",176,123,2,2,0,0,0,0,0
"East Brunswick, District 16",275,237,9,5,2,0,0,0,0
"East Brunswick, District 17",259,183,5,4,0,0,0,1,0
"East Brunswick, District 18",181,111,4,4,2,0,0,2,0
"East Brunswick, District 19",179,131,14,6,0,1,0,2,0
"East Brunswick, District 20",365,273,11,3,1,1,0,0,0
"East Brunswick, District 21",244,202,4,8,0,0,0,0,0
"East Brunswick, District 22",216,146,10,3,0,1,1,0,0
"East Brunswick, District 23",318,218,17,4,1,2,0,0,0
"East Brunswick, District 24",233,202,7,4,0,0,0,0,0
"East Brunswick, District 25",230,161,3,5,0,1,0,0,0
"East Brunswick, District 26",310,294,10,5,0,2,0,1,0
"East Brunswick, District 27",205,274,10,6,1,0,0,1,0
"East Brunswick, District 28",142,143,6,5,0,0,1,0,0
"East Brunswick, District 29",274,204,16,3,1,0,0,1,0
"East Brunswick, District 30",295,224,2,6,0,0,0,1,0
"East Brunswick, District 31",325,282,9,11,0,0,0,0,0
"East Brunswick, District 32",208,134,5,6,0,1,0,1,0
"East Brunswick, District 33",242,132,11,5,1,1,0,0,1
"East Brunswick, District 34",364,246,10,9,1,0,1,0,0
"East Brunswick, District 35",141,122,6,7,1,0,0,0,0
"East Brunswick, District 36",271,206,8,3,0,0,0,1,0
"East Brunswick, District 37",341,225,14,6,1,1,0,0,0
