,"BuccoREP","CarrollREP","MoranDEM","CorcoranDEM"
"Boonton, Town of",,,,
W1D01,149,149,132,129
W1D02,252,250,184,180
W2D01,90,92,105,102
W2D02,120,116,169,166
W3D01,66,65,84,85
W3D02,132,126,135,135
W4D01,116,102,123,127
W4D02,183,175,148,149
Mail In,39,36,42,43
Provisional,0,1,5,5
Boonton Township,,,,
D01,192,195,143,129
D02,147,148,90,81
D03,144,142,115,117
D04,131,140,94,88
D05,186,185,108,110
Mail In,32,34,26,25
Provisional,3,3,1,1
Chester Borough,,,,
D01,268,270,187,186
Mail In,18,19,9,9
Provisional,3,3,0,0
Chester Township,,,,
D01,200,203,107,105
D02,418,421,183,177
D03,318,311,181,184
D04,228,233,177,174
D05,277,284,173,165
Mail In,66,66,61,62
Provisional,9,7,7,6
Denville Township,,,,
W1D01,182,189,132,128
W1D02,181,189,189,184
W1D03,250,245,217,210
W2D01,199,204,142,142
W2D02,302,297,252,246
W2D03,191,179,195,198
W3D01,155,157,124,122
W3D02,282,284,224,218
W3D03,278,288,291,290
W4D01,248,251,148,133
W4D02,341,331,195,198
W4D03,212,212,159,156
Mail In,143,136,127,126
Provisional,14,12,15,14
"Dover, Town of",,,,
W1D01,31,27,86,88
W1D02,49,47,93,91
W1D03,55,53,119,120
W2D01,104,103,116,117
W2D02,58,60,109,103
W2D03,40,37,140,137
W3D01,49,50,158,157
W3D02,51,45,100,101
W3D03,89,90,153,143
W4D01,24,24,72,72
W4D02,24,24,79,75
W4D03,24,27,76,77
Mail In,52,37,73,78
Provisional,1,1,14,14
Mendham Borough,,,,
D01,155,161,163,154
D02,193,200,124,125
D03,214,217,138,139
D04,185,187,135,138
D05,195,203,170,161
Mail In,60,62,62,57
Provisional,4,4,4,4
Mendham Township,,,,
D01,172,174,175,176
D02,329,322,209,213
D03,188,191,126,129
D04,197,205,146,144
D05,204,204,200,197
Mail In,72,69,78,77
Provisional,8,7,6,5
Mine Hill Township,,,,
D01,172,170,144,146
D02,202,198,164,166
D03,105,104,102,98
Mail In,20,21,23,22
Provisional,1,1,4,4
Morris Township,,,,
D01,127,126,99,99
D02,121,125,133,125
D03,11,12,154,147
D04,129,135,187,183
D05,125,131,126,127
D06,117,116,120,120
D07,243,256,248,242
D08,141,135,147,145
D09,128,136,135,131
D10,253,251,251,245
D11,153,154,185,170
D12,107,102,176,174
D13,113,112,209,207
D14,123,116,227,237
D15,68,68,37,34
D16,170,175,231,226
D17,127,124,116,120
D18,142,147,165,152
D19,151,150,217,218
D20,178,176,195,193
D21,160,164,147,143
D22,152,161,198,194
D23,173,169,138,140
Mail In,250,246,306,299
Provisional,17,16,19,20
"Morristown, Town of",,,,
W1D01,97,94,143,144
W1D02,61,63,165,162
W1D03,59,58,152,152
W1D04,112,107,156,162
W2D01,28,27,154,151
W2D02,10,8,141,142
W2D03,48,45,182,180
W3D01,85,80,176,172
W3D02,86,93,166,164
W3D03,90,91,198,193
W4D01,71,71,173,172
W4D02,91,94,207,201
W4D03,136,138,242,234
W4D04,76,73,132,130
Mail In,69,69,153,153
Provisional,3,2,13,12
Mount Arlington Borough,,,,
D01,134,138,100,103
D02,266,269,171,163
D03,231,217,128,130
D04,245,241,196,194
Mail In,45,43,28,30
Provisional,2,2,2,2
Mountain Lakes Borough,,,,
D01,175,173,176,173
D02,128,129,150,148
D03,133,135,118,117
D04,94,101,107,100
D05,97,93,102,103
Mail In,23,21,49,49
Provisional,1,1,1,1
Netcong Borough,,,,
D01,212,197,106,110
D02,195,181,144,140
Mail In,24,23,8,9
Provisional,1,1,1,1
Randolph Township,,,,
D01,201,205,127,126
D02,147,152,168,161
D03,153,154,156,155
D04,144,136,183,186
D05,152,157,138,140
D06,151,152,182,173
D07,118,115,177,174
D08,59,59,103,103
D09,184,184,136,130
D10,146,154,157,151
D11,187,185,273,273
D12,189,194,181,171
D13,214,219,174,171
D14,180,175,149,147
D15,112,118,110,102
D16,151,147,198,205
D17,271,271,223,224
D18,192,186,189,190
D19,114,117,133,134
Mail In,161,157,201,200
Provisional,11,11,16,16
Rockaway Borough,,,,
D01,182,177,157,158
D02,160,161,129,125
D03,133,127,91,94
D04,126,126,134,134
D05,251,248,180,176
Mail In,46,47,27,27
Provisional,3,3,6,6
Roxbury Township,,,,
W1D01,134,135,83,79
W1D02,201,197,118,116
W1D03,169,168,112,109
W1D04,151,151,100,98
W1D05,104,101,78,73
W2D01,207,218,93,86
W2D02,162,169,118,110
W2D03,189,202,147,136
W2D04,97,96,88,87
W2D05,175,173,109,108
W3D01,146,150,131,130
W3D02,128,128,71,74
W3D03,200,199,92,88
W3D04,143,148,118,112
W3D05,146,137,83,81
W3D06,179,178,132,130
W4D01,175,177,105,99
W4D02,202,199,108,109
W4D03,161,157,106,110
W4D04,161,161,86,77
W4D05,200,191,132,133
W4D06,222,220,134,137
Mail In,164,160,99,99
Provisional,6,6,8,8
Victory Gardens Borough,,,,
D01,34,31,94,94
Mail In,10,8,9,9
Provisional,0,0,2,1
Washington Township,,,,
D01,344,347,189,174
D02,362,368,231,222
D03,303,318,201,190
D04,195,195,127,127
D05,363,389,253,236
D06,212,218,99,94
D07,190,191,153,156
D08,230,226,119,117
D09,203,215,147,147
D10,317,330,141,134
D11,117,128,136,129
D12,246,244,158,158
D13,217,225,163,154
Mail In,130,131,129,129
Provisional,8,9,14,13
Wharton Borough,,,,
D01,102,102,123,119
D02,129,129,91,89
D03,162,162,204,204
D04,125,128,125,118
D05,132,136,141,139
Mail In,41,41,34,34
Provisional,0,0,6,6
