,"DeCroceREP","WebberREP","RaichDEM","EdgeDEM"
Butler Borough,,,,
D01,200,201,160,158
D02,175,171,124,127
D03,185,177,118,118
D04,241,236,175,177
D05,197,193,125,122
Mail In,35,29,30,32
Provisional,1,1,1,1
Jefferson Township,,,,
D01,291,282,231,228
D02,247,247,136,141
D03,243,243,126,134
D04,201,203,125,130
D05,243,244,125,122
D06,209,202,156,160
D07,197,205,109,109
D08,246,244,85,81
D09,212,211,135,134
D10,216,207,98,100
D11,174,167,87,87
D12,202,197,122,118
D13,246,241,87,89
D14,250,249,125,120
Mail In,104,112,57,57
Provisional,6,6,4,3
Kinnelon Borough,,,,
D01,311,306,175,172
D02,247,247,157,160
D03,208,206,93,91
D04,340,328,169,168
D05,182,179,130,126
D06,187,182,101,98
D07,221,217,127,125
Mail In,83,84,78,78
Provisional,8,10,3,4
Lincoln Park Borough,,,,
W1D01,264,266,149,147
W1D02,234,227,126,125
W2D01,137,139,118,117
W2D02,144,143,102,103
W3D01,108,108,87,84
W3D02,147,143,127,128
W4D01,68,69,72,73
W4D02,161,155,168,166
Mail In,60,59,45,49
Provisional,2,2,0,0
Montville Township,,,,
D01,167,169,76,75
D02,116,115,138,136
D03,232,245,84,75
D04,178,174,129,130
D05,227,229,114,107
D06,251,244,112,117
D07,152,151,96,93
D08,171,175,78,81
D09,196,193,178,173
D10,184,187,137,134
D11,184,184,98,96
D12,203,207,94,93
D13,146,156,85,78
D14,240,232,174,171
D15,267,273,194,191
D16,156,161,94,92
D17,195,205,120,113
D18,189,193,91,84
Mail In,139,139,117,114
Provisional,13,11,13,14
Morris Plains Borough,,,,
D01,163,182,161,151
D02,128,149,126,124
D03,132,154,122,110
D04,161,174,156,145
D05,194,218,101,88
D06,136,147,127,123
Mail In,51,54,56,56
Provisional,3,4,3,2
Parsippany-Troy Hills Township,,,,
D01,204,213,215,198
D02,159,161,189,187
D03,157,156,109,109
D04,152,160,178,168
D05,161,169,242,238
D06,206,200,165,162
D07,205,211,186,182
D08,173,176,194,180
D09,186,173,128,128
D10,166,168,115,115
D11,214,211,178,181
D12,217,212,206,197
D13,122,124,118,114
D14,106,106,117,116
Parsippany-Troy Hills Township,,,,
D15,192,171,171,172
D16,28,25,73,74
D17,124,124,93,92
D18,167,165,141,150
D19,81,78,98,100
D20,238,229,173,177
D21,108,97,153,158
D22,83,83,160,154
D23,134,137,121,117
D24,292,293,249,256
D25,199,201,205,202
D26,60,55,112,118
D27,213,224,118,112
D28,203,199,142,134
D29,149,152,132,133
D30,126,131,76,75
D31,211,202,157,158
D32,87,86,149,150
D33,141,135,115,117
D34,166,174,192,177
D35,90,92,115,111
D36,169,166,123,116
D37,122,125,80,71
D38,138,142,74,72
D39,122,111,202,204
Mail In,425,458,486,475
Provisional,33,32,58,54
Rockaway Township,,,,
W1D01,48,52,68,69
W1D02,165,165,138,129
W1D03,153,153,152,146
W1D04,113,114,70,70
W2D01,150,153,161,161
W2D02,98,91,88,93
W2D03,174,169,145,146
W2D04,81,81,56,61
W3D01,167,162,108,108
W3D02,73,74,70,68
W3D03,173,173,108,101
W3D04,387,375,298,293
W4D01,178,172,116,115
W4D02,104,99,150,147
W4D03,116,116,190,190
W4D04,113,116,126,121
W5D01,126,114,48,51
W5D02,87,82,101,100
W5D03,172,178,167,163
W5D04,163,163,171,176
Rockaway Township,,,,
W6D01,220,223,117,111
W6D02,284,279,137,136
W6D03,161,167,68,67
W6D04,143,135,75,75
Mail In,200,201,185,184
Provisional,13,10,19,16
