"Precinct","Registration","Ballots Cast","Turnout (%)","DEMBill PASCRELL, Jr.","REPHector L. CASTILLO","INDJeff BOSS","LIBDiego RIVERA"," Write-in"
Passaic County,,,,,,,,
Clifton W1 D1 - Election Day,967,611,63.19,334,156,8,5,1
Clifton W1 D2 - Election Day,2040,1290,63.24,703,321,19,16,0
Clifton W1 D3 - Election Day,957,655,68.44,369,176,7,6,0
Clifton W1 D4 - Election Day,1385,844,60.94,489,170,13,5,0
Clifton W1 D5 - Election Day,1721,1120,65.08,606,277,14,5,1
Clifton W1 D6 - Election Day,1123,741,65.98,350,240,10,5,0
Clifton W1 D7 - Election Day,993,629,63.34,373,146,6,9,0
Clifton W1 D8 - Election Day,1015,611,60.20,274,211,6,8,0
Clifton W1 D9 - Election Day,1082,755,69.78,391,226,12,10,0
Clifton W1 D10 - Election Day,681,461,67.69,252,130,5,5,0
Clifton W1 D11 - Election Day,835,594,71.14,284,202,5,2,0
Clifton W1 D12 - Election Day,1075,681,63.35,335,229,3,3,0
Clifton W1 D13 - Election Day,1286,862,67.03,472,226,5,7,0
Clifton W1 D14 - Election Day,805,529,65.71,281,140,5,6,1
Clifton W1 D15 - Election Day,1279,830,64.89,464,194,6,6,0
Clifton W1 D16 - Election Day,679,440,64.80,215,125,6,4,0
Clifton W1 D17 - Election Day,856,509,59.46,275,106,8,9,1
Clifton W1 D18 - Election Day,1312,922,70.27,431,319,7,17,0
Clifton W1 D19 - Election Day,920,666,72.39,387,171,1,5,0
Clifton W1 D20 - Election Day,698,477,68.34,239,170,2,4,0
Clifton W1 D21 - Election Day,1066,662,62.10,366,191,5,12,0
Clifton W1 D22 - Election Day,792,534,67.42,272,151,7,6,0
Clifton W1 D23 - Election Day,1356,911,67.18,366,350,11,6,1
Clifton W2 D1 - Election Day,907,615,67.81,356,148,4,6,1
Clifton W2 D2 - Election Day,880,542,61.59,350,92,5,1,0
Clifton W2 D3 - Election Day,976,614,62.91,372,134,5,7,0
Clifton W2 D4 - Election Day,1164,683,58.68,431,98,9,14,0
Clifton W2 D5 - Election Day,1262,851,67.43,492,219,4,8,0
Clifton W2 D6 - Election Day,803,510,63.51,305,101,3,10,0
Clifton W2 D7 - Election Day,699,442,63.23,262,93,6,5,1
Clifton W2 D8 - Election Day,1253,805,64.25,445,193,7,8,0
Clifton W2 D9 - Election Day,765,523,68.37,300,147,6,8,0
Clifton W2 D10 - Election Day,630,367,58.25,254,54,6,2,0
Clifton W3 D1 - Election Day,895,562,62.79,359,92,4,8,0
Clifton W3 D2 - Election Day,512,319,62.30,198,58,5,3,0
Clifton W3 D3 - Election Day,481,305,63.41,189,72,1,3,0
Clifton W3 D4 - Election Day,654,428,65.44,266,80,5,3,0
Clifton W3 D5 - Election Day,894,527,58.95,327,79,3,7,0
Clifton W3 D6 - Election Day,747,429,57.43,263,90,4,8,0
Clifton W3 D7 - Election Day,854,538,63.00,348,71,3,7,0
Clifton W3 D8 - Election Day,1185,724,61.10,481,123,11,7,0
Clifton W4 D1 - Election Day,1027,593,57.74,398,85,2,6,0
Clifton W4 D2 - Election Day,1194,639,53.52,420,87,5,4,0
Clifton W4 D3 - Election Day,788,440,55.84,302,75,3,2,0
Clifton W4 D4 - Election Day,1054,641,60.82,380,118,2,4,1
Clifton W4 D5 - Election Day,621,384,61.84,272,49,3,6,0
Clifton W5 D1 - Election Day,654,393,60.09,279,41,5,3,0
Clifton W5 D2 - Election Day,1206,786,65.17,518,112,6,11,0
Clifton W5 D3 - Election Day,858,540,62.94,344,108,7,8,0
Clifton W5 D4 - Election Day,830,505,60.84,336,82,4,12,1
Clifton W5 D5 - Election Day,1055,653,61.90,373,145,6,7,0
Clifton W5 D6 - Election Day,1381,797,57.71,482,174,11,14,0
Clifton Mail-In Ballot - Mail-In Ballo,0,1614,0.00,1108,403,9,24,2
Clifton Over/Fed - Overseas,0,85,0.00,52,12,1,3,0
Clifton Prov - Provisional,0,547,0.00,347,102,5,12,1
Haledon 1 - Election Day,744,484,65.05,359,66,6,4,1
Haledon 2 - Election Day,723,455,62.93,310,76,6,4,1
Haledon 3 - Election Day,741,442,59.65,258,102,4,4,0
Haledon 4 - Election Day,735,438,59.59,336,56,4,2,0
Haledon 5 - Election Day,740,459,62.03,312,90,4,3,0
Haledon 6 - Election Day,1152,702,60.94,480,140,6,6,0
Haledon Mail-In Ballot - Mail-In Ba,0,162,0.00,110,35,2,3,0
Haledon Over/Fed - Overseas,0,6,0.00,4,1,0,0,0
Haledon Prov - Provisional,0,66,0.00,48,10,0,2,0
Hawthorne W1 D1 - Election Day,1412,875,61.97,457,245,8,14,0
Hawthorne W1 D2 - Election Day,880,583,66.25,305,177,5,7,0
Hawthorne W1 D3 - Election Day,883,617,69.88,292,234,5,13,0
Hawthorne W2 D1 - Election Day,1114,708,63.55,346,238,6,7,0
Hawthorne W2 D2 - Election Day,733,500,68.21,226,190,3,5,0
Hawthorne W2 D3 - Election Day,1099,760,69.15,380,254,7,12,0
Hawthorne W3 D1 - Election Day,1028,706,68.68,323,260,3,7,0
Hawthorne W3 D2 - Election Day,812,552,67.98,289,185,3,5,1
Hawthorne W3 D3 - Election Day,955,667,69.84,283,299,1,4,1
Hawthorne W3 D4 - Election Day,807,538,66.67,243,228,4,4,0
Hawthorne W4 D1 - Election Day,1047,705,67.34,352,244,4,9,0
Hawthorne W4 D2 - Election Day,1296,880,67.90,389,319,9,10,0
Hawthorne W4 D3 - Election Day,921,638,69.27,298,231,5,12,1
Hawthorne Mail-In Ballot - Mail-In,0,552,0.00,317,199,1,6,0
Hawthorne Over/Fed - Overseas,0,20,0.00,17,2,0,0,0
Hawthorne Prov - Provisional,0,82,0.00,44,29,0,3,0
Passaic W1 D1 - Election Day,882,388,43.99,275,30,10,2,1
Passaic W1 D2 - Election Day,773,365,47.22,234,29,4,4,0
Passaic W1 D3 - Election Day,1212,601,49.59,371,48,1,5,1
Passaic W1 D4 - Election Day,1286,670,52.10,437,58,4,11,0
Passaic W2 D1 - Election Day,1071,557,52.01,369,81,3,4,1
