,"Registration","Ballots Cast","Turnout","Joe PennacchioREP","Elliot IsiborDEM","Write-In"
West Milford 1,1292,517,40.02,310,137,0
West Milford 2,1192,494,41.44,286,142,0
West Milford 3,1290,511,39.61,259,183,0
West Milford 4,1495,619,41.40,329,216,0
West Milford 5,754,342,45.36,190,105,0
West Milford 6,1209,475,39.29,239,175,0
West Milford 7,1898,837,44.10,477,240,0
West Milford 8,1588,733,46.16,388,219,4
West Milford 9,1877,797,42.46,396,291,0
West Milford 10,1942,704,36.25,371,229,0
West Milford 11,1472,538,36.55,260,192,0
West Milford 12,1493,607,40.66,318,219,0
West Milford 13,999,434,43.44,251,129,0
West Milford Mail-In Ballot,0,338,0.00,178,151,1
West Milford Over\Fed,0,0,0.00,0,0,0
West Milford Provisional,0,23,0.00,8,11,0
